i x y stance
223 0.075 0.085 0
224 0.075 0.085 0
225 0.075 0.085 0
226 0.075 0.085 0
227 0.075 0.085 0
228 0.075 0.085 0
229 0.075 0.085 0
230 0.075 0.085 0
231 0.075 0.085 2
232 0.075 0.085 2
233 0.075 0.085 2
234 0.075 0.085 2
235 0.075 0.085 2
236 0.075 0.085 2
237 0.075 0.085 2
238 0.075 0.085 2
239 0.075 0.085 2
240 0.075 0.085 2
241 0.075 0.085 2
242 0.075 0.085 2
243 0.075 0.085 2
244 0.075 0.085 2
245 0.075 0.085 2
246 0.075 0.085 2
247 0.075 0.085 2
248 0.075 0.085 2
249 0.075 0.085 2
250 0.075 0.085 2
251 0.075 0.085 2
252 0.075 0.085 2
253 0.075 0.085 2
254 0.075 0.085 2
255 0.075 0.085 2
256 0.075 0.085 2
257 0.075 0.085 2
258 0.075 0.085 2
259 0.075 0.085 2
260 0.075 0.085 2
261 0.075 0.085 2
262 0.075 0.085 2
263 0.075 0.085 2
264 0.075 0.085 2
265 0.075 0.085 2
266 0.075 0.085 2
267 0.075 0.085 2
268 0.075 0.085 2
269 0.075 0.085 2
270 0.075 0.085 2
271 0.075 0.085 2
272 0.075 0.085 2
273 0.075 0.085 2
274 0.075 0.085 2
275 0.075 0.085 2
276 0.075 0.085 2
277 0.075 0.085 2
278 0.075 0.085 2
279 0.075 0.085 2
280 0.075 0.085 2
281 0.075 0.085 2
282 0.075 0.085 2
283 0.075 0.085 2
284 0.075 0.085 2
285 0.075 0.085 2
286 0.075 0.085 2
287 0.075 0.085 2
288 0.075 0.085 2
289 0.075 0.085 2
290 0.075 0.085 2
291 0.075 0.085 2
292 0.075 0.085 2
293 0.075 0.085 2
294 0.075 0.085 2
295 0.075 0.085 2
296 0.075 0.085 2
297 0.075 0.085 2
298 0.075 0.085 2
299 0.075 0.085 2
300 0.075 0.085 2
301 0.075 0.085 2
302 0.075 0.085 2
303 0.075 0.085 2
304 0.075 0.085 2
305 0.075 0.085 2
306 0.075 0.085 2
307 0.075 0.085 2
308 0.075 0.085 2
309 0.075 0.085 2
310 0.075 0.085 2
311 0.075 0.085 2
312 0.075 0.085 2
313 0.075 0.085 2
314 0.075 0.085 2
315 0.075 0.085 2
316 0.075 0.085 2
317 0.075 0.085 2
318 0.075 0.085 2
319 0.075 0.085 2
320 0.075 0.085 2
321 0.075 0.085 2
322 0.075 0.085 2
323 0.075 0.085 2
324 0.075 0.085 2
325 0.075 0.085 2
326 0.075 0.085 2
327 0.075 0.085 2
328 0.075 0.085 2
329 0.075 0.085 2
330 0.075 0.085 2
331 0.075 0.085 2
332 0.075 0.085 2
333 0.075 0.085 2
334 0.075 0.085 2
335 0.075 0.085 2
336 0.075 0.085 2
337 0.075 0.085 2
338 0.075 0.085 2
339 0.075 0.085 2
340 0.075 0.085 2
341 0.075 0.085 2
342 0.075 0.085 2
343 0.075 0.085 2
344 0.075 0.085 2
345 0.075 0.085 2
346 0.075 0.085 2
347 0.075 0.085 2
348 0.075 0.085 2
349 0.075 0.085 2
350 0.075 0.085 2
351 0.075 0.085 2
352 0.075 0.085 2
353 0.075 0.085 2
354 0.075 0.085 2
355 0.075 0.085 2
356 0.075 0.085 2
357 0.075 0.085 2
358 0.075 0.085 2
359 0.075 0.085 2
360 0.075 0.085 2
361 0.075 0.085 2
362 0.075 0.085 2
363 0.075 0.085 2
364 0.075 0.085 2
365 0.075 0.085 2
366 0.075 0.085 2
367 0.075 0.085 2
368 0.075 0.085 2
369 0.075 0.085 2
370 0.075 0.085 2
371 0.225 -0.085 1
372 0.225 -0.085 1
373 0.225 -0.085 1
374 0.225 -0.085 1
375 0.225 -0.085 1
376 0.225 -0.085 1
377 0.225 -0.085 1
378 0.225 -0.085 1
379 0.225 -0.085 1
380 0.225 -0.085 1
381 0.225 -0.085 1
382 0.225 -0.085 1
383 0.225 -0.085 1
384 0.225 -0.085 1
385 0.225 -0.085 1
386 0.225 -0.085 1
387 0.225 -0.085 1
388 0.225 -0.085 1
389 0.225 -0.085 1
390 0.225 -0.085 1
391 0.225 -0.085 1
392 0.225 -0.085 1
393 0.225 -0.085 1
394 0.225 -0.085 1
395 0.225 -0.085 1
396 0.225 -0.085 1
397 0.225 -0.085 1
398 0.225 -0.085 1
399 0.225 -0.085 1
400 0.225 -0.085 1
401 0.225 -0.085 1
402 0.225 -0.085 3
403 0.225 -0.085 3
404 0.225 -0.085 3
405 0.225 -0.085 3
406 0.225 -0.085 3
407 0.225 -0.085 3
408 0.225 -0.085 3
409 0.225 -0.085 3
410 0.225 -0.085 3
411 0.225 -0.085 3
412 0.225 -0.085 3
413 0.225 -0.085 3
414 0.225 -0.085 3
415 0.225 -0.085 3
416 0.225 -0.085 3
417 0.225 -0.085 3
418 0.225 -0.085 3
419 0.225 -0.085 3
420 0.225 -0.085 3
421 0.225 -0.085 3
422 0.225 -0.085 3
423 0.225 -0.085 3
424 0.225 -0.085 3
425 0.225 -0.085 3
426 0.225 -0.085 3
427 0.225 -0.085 3
428 0.225 -0.085 3
429 0.225 -0.085 3
430 0.225 -0.085 3
431 0.225 -0.085 3
432 0.225 -0.085 3
433 0.225 -0.085 3
434 0.225 -0.085 3
435 0.225 -0.085 3
436 0.225 -0.085 3
437 0.225 -0.085 3
438 0.225 -0.085 3
439 0.225 -0.085 3
440 0.225 -0.085 3
441 0.225 -0.085 3
442 0.225 -0.085 3
443 0.225 -0.085 3
444 0.225 -0.085 3
445 0.225 -0.085 3
446 0.225 -0.085 3
447 0.225 -0.085 3
448 0.225 -0.085 3
449 0.225 -0.085 3
450 0.225 -0.085 3
451 0.225 -0.085 3
452 0.225 -0.085 3
453 0.225 -0.085 3
454 0.225 -0.085 3
455 0.225 -0.085 3
456 0.225 -0.085 3
457 0.225 -0.085 3
458 0.225 -0.085 3
459 0.225 -0.085 3
460 0.225 -0.085 3
461 0.225 -0.085 3
462 0.225 -0.085 3
463 0.225 -0.085 3
464 0.225 -0.085 3
465 0.225 -0.085 3
466 0.225 -0.085 3
467 0.225 -0.085 3
468 0.225 -0.085 3
469 0.225 -0.085 3
470 0.225 -0.085 3
471 0.225 -0.085 3
472 0.225 -0.085 3
473 0.225 -0.085 3
474 0.225 -0.085 3
475 0.225 -0.085 3
476 0.225 -0.085 3
477 0.225 -0.085 3
478 0.225 -0.085 3
479 0.225 -0.085 3
480 0.225 -0.085 3
481 0.225 -0.085 3
482 0.225 -0.085 3
483 0.225 -0.085 3
484 0.225 -0.085 3
485 0.225 -0.085 3
486 0.225 -0.085 3
487 0.225 -0.085 3
488 0.225 -0.085 3
489 0.225 -0.085 3
490 0.225 -0.085 3
491 0.225 -0.085 3
492 0.225 -0.085 3
493 0.225 -0.085 3
494 0.225 -0.085 3
495 0.225 -0.085 3
496 0.225 -0.085 3
497 0.225 -0.085 3
498 0.225 -0.085 3
499 0.225 -0.085 3
500 0.225 -0.085 3
501 0.225 -0.085 3
502 0.225 -0.085 3
503 0.225 -0.085 3
504 0.225 -0.085 3
505 0.225 -0.085 3
506 0.225 -0.085 3
507 0.225 -0.085 3
508 0.225 -0.085 3
509 0.225 -0.085 3
510 0.225 -0.085 3
511 0.225 -0.085 3
512 0.225 -0.085 3
513 0.225 -0.085 3
514 0.225 -0.085 3
515 0.225 -0.085 3
516 0.225 -0.085 3
517 0.225 -0.085 3
518 0.225 -0.085 3
519 0.225 -0.085 3
520 0.225 -0.085 3
521 0.225 -0.085 3
522 0.225 -0.085 3
523 0.225 -0.085 3
524 0.225 -0.085 3
525 0.225 -0.085 3
526 0.225 -0.085 3
527 0.225 -0.085 3
528 0.225 -0.085 3
529 0.225 -0.085 3
530 0.225 -0.085 3
531 0.225 -0.085 3
532 0.225 -0.085 3
533 0.225 -0.085 3
534 0.225 -0.085 3
535 0.225 -0.085 3
536 0.225 -0.085 3
537 0.225 -0.085 3
538 0.225 -0.085 3
539 0.225 -0.085 3
540 0.225 -0.085 3
541 0.225 -0.085 3
542 0.375 0.085 0
543 0.375 0.085 0
544 0.375 0.085 0
545 0.375 0.085 0
546 0.375 0.085 0
547 0.375 0.085 0
548 0.375 0.085 0
549 0.375 0.085 0
550 0.375 0.085 0
551 0.375 0.085 0
552 0.375 0.085 0
553 0.375 0.085 0
554 0.375 0.085 0
555 0.375 0.085 0
556 0.375 0.085 0
557 0.375 0.085 0
558 0.375 0.085 0
559 0.375 0.085 0
560 0.375 0.085 0
561 0.375 0.085 0
562 0.375 0.085 0
563 0.375 0.085 0
564 0.375 0.085 0
565 0.375 0.085 0
566 0.375 0.085 0
567 0.375 0.085 0
568 0.375 0.085 0
569 0.375 0.085 0
570 0.375 0.085 0
571 0.375 0.085 0
572 0.375 0.085 0
573 0.375 0.085 2
574 0.375 0.085 2
575 0.375 0.085 2
576 0.375 0.085 2
577 0.375 0.085 2
578 0.375 0.085 2
579 0.375 0.085 2
580 0.375 0.085 2
581 0.375 0.085 2
582 0.375 0.085 2
583 0.375 0.085 2
584 0.375 0.085 2
585 0.375 0.085 2
586 0.375 0.085 2
587 0.375 0.085 2
588 0.375 0.085 2
589 0.375 0.085 2
590 0.375 0.085 2
591 0.375 0.085 2
592 0.375 0.085 2
593 0.375 0.085 2
594 0.375 0.085 2
595 0.375 0.085 2
596 0.375 0.085 2
597 0.375 0.085 2
598 0.375 0.085 2
599 0.375 0.085 2
600 0.375 0.085 2
601 0.375 0.085 2
602 0.375 0.085 2
603 0.375 0.085 2
604 0.375 0.085 2
605 0.375 0.085 2
606 0.375 0.085 2
607 0.375 0.085 2
608 0.375 0.085 2
609 0.375 0.085 2
610 0.375 0.085 2
611 0.375 0.085 2
612 0.375 0.085 2
613 0.375 0.085 2
614 0.375 0.085 2
615 0.375 0.085 2
616 0.375 0.085 2
617 0.375 0.085 2
618 0.375 0.085 2
619 0.375 0.085 2
620 0.375 0.085 2
621 0.375 0.085 2
622 0.375 0.085 2
623 0.375 0.085 2
624 0.375 0.085 2
625 0.375 0.085 2
626 0.375 0.085 2
627 0.375 0.085 2
628 0.375 0.085 2
629 0.375 0.085 2
630 0.375 0.085 2
631 0.375 0.085 2
632 0.375 0.085 2
633 0.375 0.085 2
634 0.375 0.085 2
635 0.375 0.085 2
636 0.375 0.085 2
637 0.375 0.085 2
638 0.375 0.085 2
639 0.375 0.085 2
640 0.375 0.085 2
641 0.375 0.085 2
642 0.375 0.085 2
643 0.375 0.085 2
644 0.375 0.085 2
645 0.375 0.085 2
646 0.375 0.085 2
647 0.375 0.085 2
648 0.375 0.085 2
649 0.375 0.085 2
650 0.375 0.085 2
651 0.375 0.085 2
652 0.375 0.085 2
653 0.375 0.085 2
654 0.375 0.085 2
655 0.375 0.085 2
656 0.375 0.085 2
657 0.375 0.085 2
658 0.375 0.085 2
659 0.375 0.085 2
660 0.375 0.085 2
661 0.375 0.085 2
662 0.375 0.085 2
663 0.375 0.085 2
664 0.375 0.085 2
665 0.375 0.085 2
666 0.375 0.085 2
667 0.375 0.085 2
668 0.375 0.085 2
669 0.375 0.085 2
670 0.375 0.085 2
671 0.375 0.085 2
672 0.375 0.085 2
673 0.375 0.085 2
674 0.375 0.085 2
675 0.375 0.085 2
676 0.375 0.085 2
677 0.375 0.085 2
678 0.375 0.085 2
679 0.375 0.085 2
680 0.375 0.085 2
681 0.375 0.085 2
682 0.375 0.085 2
683 0.375 0.085 2
684 0.375 0.085 2
685 0.375 0.085 2
686 0.375 0.085 2
687 0.375 0.085 2
688 0.375 0.085 2
689 0.375 0.085 2
690 0.375 0.085 2
691 0.375 0.085 2
692 0.375 0.085 2
693 0.375 0.085 2
694 0.375 0.085 2
695 0.375 0.085 2
696 0.375 0.085 2
697 0.375 0.085 2
698 0.375 0.085 2
699 0.375 0.085 2
700 0.375 0.085 2
701 0.375 0.085 2
702 0.375 0.085 2
703 0.375 0.085 2
704 0.375 0.085 2
705 0.375 0.085 2
706 0.375 0.085 2
707 0.375 0.085 2
708 0.375 0.085 2
709 0.375 0.085 2
710 0.375 0.085 2
711 0.375 0.085 2
712 0.375 0.085 2
713 0.525 -0.085 1
714 0.525 -0.085 1
715 0.525 -0.085 1
716 0.525 -0.085 1
717 0.525 -0.085 1
718 0.525 -0.085 1
719 0.525 -0.085 1
720 0.525 -0.085 1
721 0.525 -0.085 1
722 0.525 -0.085 1
723 0.525 -0.085 1
724 0.525 -0.085 1
725 0.525 -0.085 1
726 0.525 -0.085 1
727 0.525 -0.085 1
728 0.525 -0.085 1
729 0.525 -0.085 1
730 0.525 -0.085 1
731 0.525 -0.085 1
732 0.525 -0.085 1
733 0.525 -0.085 1
734 0.525 -0.085 1
735 0.525 -0.085 1
736 0.525 -0.085 1
737 0.525 -0.085 1
738 0.525 -0.085 1
739 0.525 -0.085 1
740 0.525 -0.085 1
741 0.525 -0.085 1
742 0.525 -0.085 1
743 0.525 -0.085 1
744 0.525 -0.085 3
745 0.525 -0.085 3
746 0.525 -0.085 3
747 0.525 -0.085 3
748 0.525 -0.085 3
749 0.525 -0.085 3
750 0.525 -0.085 3
751 0.525 -0.085 3
752 0.525 -0.085 3
753 0.525 -0.085 3
754 0.525 -0.085 3
755 0.525 -0.085 3
756 0.525 -0.085 3
757 0.525 -0.085 3
758 0.525 -0.085 3
759 0.525 -0.085 3
760 0.525 -0.085 3
761 0.525 -0.085 3
762 0.525 -0.085 3
763 0.525 -0.085 3
764 0.525 -0.085 3
765 0.525 -0.085 3
766 0.525 -0.085 3
767 0.525 -0.085 3
768 0.525 -0.085 3
769 0.525 -0.085 3
770 0.525 -0.085 3
771 0.525 -0.085 3
772 0.525 -0.085 3
773 0.525 -0.085 3
774 0.525 -0.085 3
775 0.525 -0.085 3
776 0.525 -0.085 3
777 0.525 -0.085 3
778 0.525 -0.085 3
779 0.525 -0.085 3
780 0.525 -0.085 3
781 0.525 -0.085 3
782 0.525 -0.085 3
783 0.525 -0.085 3
784 0.525 -0.085 3
785 0.525 -0.085 3
786 0.525 -0.085 3
787 0.525 -0.085 3
788 0.525 -0.085 3
789 0.525 -0.085 3
790 0.525 -0.085 3
791 0.525 -0.085 3
792 0.525 -0.085 3
793 0.525 -0.085 3
794 0.525 -0.085 3
795 0.525 -0.085 3
796 0.525 -0.085 3
797 0.525 -0.085 3
798 0.525 -0.085 3
799 0.525 -0.085 3
800 0.525 -0.085 3
801 0.525 -0.085 3
802 0.525 -0.085 3
803 0.525 -0.085 3
804 0.525 -0.085 3
805 0.525 -0.085 3
806 0.525 -0.085 3
807 0.525 -0.085 3
808 0.525 -0.085 3
809 0.525 -0.085 3
810 0.525 -0.085 3
811 0.525 -0.085 3
812 0.525 -0.085 3
813 0.525 -0.085 3
814 0.525 -0.085 3
815 0.525 -0.085 3
816 0.525 -0.085 3
817 0.525 -0.085 3
818 0.525 -0.085 3
819 0.525 -0.085 3
820 0.525 -0.085 3
821 0.525 -0.085 3
822 0.525 -0.085 3
823 0.525 -0.085 3
824 0.525 -0.085 3
825 0.525 -0.085 3
826 0.525 -0.085 3
827 0.525 -0.085 3
828 0.525 -0.085 3
829 0.525 -0.085 3
830 0.525 -0.085 3
831 0.525 -0.085 3
832 0.525 -0.085 3
833 0.525 -0.085 3
834 0.525 -0.085 3
835 0.525 -0.085 3
836 0.525 -0.085 3
837 0.525 -0.085 3
838 0.525 -0.085 3
839 0.525 -0.085 3
840 0.525 -0.085 3
841 0.525 -0.085 3
842 0.525 -0.085 3
843 0.525 -0.085 3
844 0.525 -0.085 3
845 0.525 -0.085 3
846 0.525 -0.085 3
847 0.525 -0.085 3
848 0.525 -0.085 3
849 0.525 -0.085 3
850 0.525 -0.085 3
851 0.525 -0.085 3
852 0.525 -0.085 3
853 0.525 -0.085 3
854 0.525 -0.085 3
855 0.525 -0.085 3
856 0.525 -0.085 3
857 0.525 -0.085 3
858 0.525 -0.085 3
859 0.525 -0.085 3
860 0.525 -0.085 3
861 0.525 -0.085 3
862 0.525 -0.085 3
863 0.525 -0.085 3
864 0.525 -0.085 3
865 0.525 -0.085 3
866 0.525 -0.085 3
867 0.525 -0.085 3
868 0.525 -0.085 3
869 0.525 -0.085 3
870 0.525 -0.085 3
871 0.525 -0.085 3
872 0.525 -0.085 3
873 0.525 -0.085 3
874 0.525 -0.085 3
875 0.525 -0.085 3
876 0.525 -0.085 3
877 0.525 -0.085 3
878 0.525 -0.085 3
879 0.525 -0.085 3
880 0.525 -0.085 3
881 0.525 -0.085 3
882 0.525 -0.085 3
883 0.525 -0.085 3
884 0.675 0.085 0
885 0.675 0.085 0
886 0.675 0.085 0
887 0.675 0.085 0
888 0.675 0.085 0
889 0.675 0.085 0
890 0.675 0.085 0
891 0.675 0.085 0
892 0.675 0.085 0
893 0.675 0.085 0
894 0.675 0.085 0
895 0.675 0.085 0
896 0.675 0.085 0
897 0.675 0.085 0
898 0.675 0.085 0
899 0.675 0.085 0
900 0.675 0.085 0
901 0.675 0.085 0
902 0.675 0.085 0
903 0.675 0.085 0
904 0.675 0.085 0
905 0.675 0.085 0
906 0.675 0.085 0
907 0.675 0.085 0
908 0.675 0.085 0
909 0.675 0.085 0
910 0.675 0.085 0
911 0.675 0.085 0
912 0.675 0.085 0
913 0.675 0.085 0
914 0.675 0.085 0
915 0.675 0.085 2
916 0.675 0.085 2
917 0.675 0.085 2
918 0.675 0.085 2
919 0.675 0.085 2
920 0.675 0.085 2
921 0.675 0.085 2
922 0.675 0.085 2
923 0.675 0.085 2
924 0.675 0.085 2
925 0.675 0.085 2
926 0.675 0.085 2
927 0.675 0.085 2
928 0.675 0.085 2
929 0.675 0.085 2
930 0.675 0.085 2
931 0.675 0.085 2
932 0.675 0.085 2
933 0.675 0.085 2
934 0.675 0.085 2
935 0.675 0.085 2
936 0.675 0.085 2
937 0.675 0.085 2
938 0.675 0.085 2
939 0.675 0.085 2
940 0.675 0.085 2
941 0.675 0.085 2
942 0.675 0.085 2
943 0.675 0.085 2
944 0.675 0.085 2
945 0.675 0.085 2
946 0.675 0.085 2
947 0.675 0.085 2
948 0.675 0.085 2
949 0.675 0.085 2
950 0.675 0.085 2
951 0.675 0.085 2
952 0.675 0.085 2
953 0.675 0.085 2
954 0.675 0.085 2
955 0.675 0.085 2
956 0.675 0.085 2
957 0.675 0.085 2
958 0.675 0.085 2
959 0.675 0.085 2
960 0.675 0.085 2
961 0.675 0.085 2
962 0.675 0.085 2
963 0.675 0.085 2
964 0.675 0.085 2
965 0.675 0.085 2
966 0.675 0.085 2
967 0.675 0.085 2
968 0.675 0.085 2
969 0.675 0.085 2
970 0.675 0.085 2
971 0.675 0.085 2
972 0.675 0.085 2
973 0.675 0.085 2
974 0.675 0.085 2
975 0.675 0.085 2
976 0.675 0.085 2
977 0.675 0.085 2
978 0.675 0.085 2
979 0.675 0.085 2
980 0.675 0.085 2
981 0.675 0.085 2
982 0.675 0.085 2
983 0.675 0.085 2
984 0.675 0.085 2
985 0.675 0.085 2
986 0.675 0.085 2
987 0.675 0.085 2
988 0.675 0.085 2
989 0.675 0.085 2
990 0.675 0.085 2
991 0.675 0.085 2
992 0.675 0.085 2
993 0.675 0.085 2
994 0.675 0.085 2
995 0.675 0.085 2
996 0.675 0.085 2
997 0.675 0.085 2
998 0.675 0.085 2
999 0.675 0.085 2
1000 0.675 0.085 2
1001 0.675 0.085 2
1002 0.675 0.085 2
1003 0.675 0.085 2
1004 0.675 0.085 2
1005 0.675 0.085 2
1006 0.675 0.085 2
1007 0.675 0.085 2
1008 0.675 0.085 2
1009 0.675 0.085 2
1010 0.675 0.085 2
1011 0.675 0.085 2
1012 0.675 0.085 2
1013 0.675 0.085 2
1014 0.675 0.085 2
1015 0.675 0.085 2
1016 0.675 0.085 2
1017 0.675 0.085 2
1018 0.675 0.085 2
1019 0.675 0.085 2
1020 0.675 0.085 2
1021 0.675 0.085 2
1022 0.675 0.085 2
1023 0.675 0.085 2
1024 0.675 0.085 2
1025 0.675 0.085 2
1026 0.675 0.085 2
1027 0.675 0.085 2
1028 0.675 0.085 2
1029 0.675 0.085 2
1030 0.675 0.085 2
1031 0.675 0.085 2
1032 0.675 0.085 2
1033 0.675 0.085 2
1034 0.675 0.085 2
1035 0.675 0.085 2
1036 0.675 0.085 2
1037 0.675 0.085 2
1038 0.675 0.085 2
1039 0.675 0.085 2
1040 0.675 0.085 2
1041 0.675 0.085 2
1042 0.675 0.085 2
1043 0.675 0.085 2
1044 0.675 0.085 2
1045 0.675 0.085 2
1046 0.675 0.085 2
1047 0.675 0.085 2
1048 0.675 0.085 2
1049 0.675 0.085 2
1050 0.675 0.085 2
1051 0.675 0.085 2
1052 0.675 0.085 2
1053 0.675 0.085 2
1054 0.675 0.085 2
1055 0.825 -0.085 1
1056 0.825 -0.085 1
1057 0.825 -0.085 1
1058 0.825 -0.085 1
1059 0.825 -0.085 1
1060 0.825 -0.085 1
1061 0.825 -0.085 1
1062 0.825 -0.085 1
1063 0.825 -0.085 1
1064 0.825 -0.085 1
1065 0.825 -0.085 1
1066 0.825 -0.085 1
1067 0.825 -0.085 1
1068 0.825 -0.085 1
1069 0.825 -0.085 1
1070 0.825 -0.085 1
1071 0.825 -0.085 1
1072 0.825 -0.085 1
1073 0.825 -0.085 1
1074 0.825 -0.085 1
1075 0.825 -0.085 1
1076 0.825 -0.085 1
1077 0.825 -0.085 1
1078 0.825 -0.085 1
1079 0.825 -0.085 1
1080 0.825 -0.085 1
1081 0.825 -0.085 1
1082 0.825 -0.085 1
1083 0.825 -0.085 1
1084 0.825 -0.085 1
1085 0.825 -0.085 1
1086 0.825 -0.085 3
1087 0.825 -0.085 3
1088 0.825 -0.085 3
1089 0.825 -0.085 3
1090 0.825 -0.085 3
1091 0.825 -0.085 3
1092 0.825 -0.085 3
1093 0.825 -0.085 3
1094 0.825 -0.085 3
1095 0.825 -0.085 3
1096 0.825 -0.085 3
1097 0.825 -0.085 3
1098 0.825 -0.085 3
1099 0.825 -0.085 3
1100 0.825 -0.085 3
1101 0.825 -0.085 3
1102 0.825 -0.085 3
1103 0.825 -0.085 3
1104 0.825 -0.085 3
1105 0.825 -0.085 3
1106 0.825 -0.085 3
1107 0.825 -0.085 3
1108 0.825 -0.085 3
1109 0.825 -0.085 3
1110 0.825 -0.085 3
1111 0.825 -0.085 3
1112 0.825 -0.085 3
1113 0.825 -0.085 3
1114 0.825 -0.085 3
1115 0.825 -0.085 3
1116 0.825 -0.085 3
1117 0.825 -0.085 3
1118 0.825 -0.085 3
1119 0.825 -0.085 3
1120 0.825 -0.085 3
1121 0.825 -0.085 3
1122 0.825 -0.085 3
1123 0.825 -0.085 3
1124 0.825 -0.085 3
1125 0.825 -0.085 3
1126 0.825 -0.085 3
1127 0.825 -0.085 3
1128 0.825 -0.085 3
1129 0.825 -0.085 3
1130 0.825 -0.085 3
1131 0.825 -0.085 3
1132 0.825 -0.085 3
1133 0.825 -0.085 3
1134 0.825 -0.085 3
1135 0.825 -0.085 3
1136 0.825 -0.085 3
1137 0.825 -0.085 3
1138 0.825 -0.085 3
1139 0.825 -0.085 3
1140 0.825 -0.085 3
1141 0.825 -0.085 3
1142 0.825 -0.085 3
1143 0.825 -0.085 3
1144 0.825 -0.085 3
1145 0.825 -0.085 3
1146 0.825 -0.085 3
1147 0.825 -0.085 3
1148 0.825 -0.085 3
1149 0.825 -0.085 3
1150 0.825 -0.085 3
1151 0.825 -0.085 3
1152 0.825 -0.085 3
1153 0.825 -0.085 3
1154 0.825 -0.085 3
1155 0.825 -0.085 3
1156 0.825 -0.085 3
1157 0.825 -0.085 3
1158 0.825 -0.085 3
1159 0.825 -0.085 3
1160 0.825 -0.085 3
1161 0.825 -0.085 3
1162 0.825 -0.085 3
1163 0.825 -0.085 3
1164 0.825 -0.085 3
1165 0.825 -0.085 3
1166 0.825 -0.085 3
1167 0.825 -0.085 3
1168 0.825 -0.085 3
1169 0.825 -0.085 3
1170 0.825 -0.085 3
1171 0.825 -0.085 3
1172 0.825 -0.085 3
1173 0.825 -0.085 3
1174 0.825 -0.085 3
1175 0.825 -0.085 3
1176 0.825 -0.085 3
1177 0.825 -0.085 3
